id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
35430613,New York City's Best Kept Secret🙊,Bronx,Concourse,40.83106,-73.92168,646.0,5.0,103.0,0.08493150684931507,20026.0,145027.0
39397232,CLOSE TO CENTRAL PRK & EXPRESS TRAINS ABCD 2/3,Manhattan,Harlem,40.80797,-73.9489,621.0,5.0,46.0,0.06027397260273973,13662.0,145003.5
4792876,Beautiful sunny apt near prospect park!,Brooklyn,Crown Heights,40.66412,-73.95591,909.0,5.0,1.0,0.26301369863013696,87264.0,144985.49999999997
35233995,Amazing Luxury Apartment with backyard and garden.,Brooklyn,Sheepshead Bay,40.58724,-73.94376,730.0,5.0,31.0,0.15616438356164383,41610.0,144904.99999999997
32719373,A cozy two bedroom  Park slope Apartment,Brooklyn,Sunset Park,40.66283,-73.9914,981.0,5.0,27.0,0.2958904109589041,105948.0,144697.49999999997
36296068,Private Room in Rockaway one block from the beach,Queens,Breezy Point,40.56748,-73.87111,587.0,5.0,9.0,0.024657534246575342,5283.0,144695.5
4067706,Bright room with private bathroom,Manhattan,Washington Heights,40.83428,-73.94738,815.0,5.0,25.0,0.2136986301369863,63570.0,144662.5
5547870,Private Room Right by Subway to Manhattan *alt*,Brooklyn,Prospect-Lefferts Gardens,40.66117,-73.96083,797.0,5.0,54.0,0.20273972602739726,58978.0,144655.5
32610017,(3RE) Chelsea Studio Exclusively Yours,Manhattan,Chelsea,40.74684,-73.99207,762.0,5.0,7.0,0.18082191780821918,50292.00000000001,144399.0
41257378,"Walk to UN, Macy's & Empire State B",Manhattan,Murray Hill,40.74648,-73.97726,1035.0,5.0,130.0,0.3178082191780822,120060.00000000001,144382.5
8061387,"Quiet, clean, modern 1-bed/1-bath",Brooklyn,Windsor Terrace,40.64845,-73.97302,702.0,5.0,7.0,0.136986301369863,35100.0,144261.0
2723960,Beautiful warm duplex apartment,Brooklyn,Bedford-Stuyvesant,40.68489,-73.95473,826.0,5.0,108.0,0.2219178082191781,66906.0,144136.99999999997
36110495,Luxurious Apt in the heart of Manhattan,Manhattan,Midtown,40.74625,-73.98065,708.0,5.0,6.0,0.14246575342465753,36816.0,144078.0
35635517,Studio Deluxe: Cleaning CDC guidelines implemented,Brooklyn,Greenpoint,40.72623,-73.94128,840.0,5.0,18.0,0.23013698630136986,70560.0,144060.0
23521369,Spread love it’s the Brooklyn way.,Brooklyn,Bedford-Stuyvesant,40.68306,-73.93104,1071.0,5.0,5.0,0.3315068493150685,129591.00000000001,144049.5
35797341,Lovely bedroom in HK,Manhattan,Hell's Kitchen,40.76594,-73.98705,630.0,5.0,3.0,0.07397260273972603,17010.0,143955.0
21662327,Nice Cozy Room In Brooklyn On A Dead End Block,Brooklyn,East Flatbush,40.64843,-73.93549,641.0,5.0,8.0,0.08493150684931507,19871.0,143904.5
28857691,Kips Modern Flat with Views,Manhattan,Kips Bay,40.7406,-73.97607,806.0,5.0,2.0,0.21095890410958903,62062.0,143870.99999999997
30033538,Times Square Private One Bedroom Apartment,Manhattan,Hell's Kitchen,40.75735,-73.99343,1119.0,5.0,12.0,0.34794520547945207,142113.0,143791.5
13868821,Beautiful Bright bedroom with private bathroom,Brooklyn,Williamsburg,40.71173,-73.94417,988.0,5.0,13.0,0.3013698630136986,108680.0,143753.99999999997
45440499,Beautiful Bright bedroom with private bathroom,Brooklyn,Williamsburg,40.71173,-73.94417,988.0,5.0,13.0,0.3013698630136986,108680.0,143753.99999999997
34222733,"Located in a quiet area, very commercial, restaurants, Astoria Park with a view of the Incredible City, near the Q, W train 20 minutes from the heart of the City.",Queens,Astoria,40.77395,-73.92682,858.0,5.0,8.0,0.2410958904109589,75504.0,143714.99999999997
15571010,"Beautiful,2,000sf,sunny,airy,SoHo loft w/balconies",Manhattan,Lower East Side,40.72066,-73.99229,967.0,5.0,14.0,0.29315068493150687,103469.0,143599.5
47142687,"Beautiful,2,000sf,sunny,airy,SoHo loft w/balconies",Manhattan,Lower East Side,40.72066,-73.99229,967.0,5.0,14.0,0.29315068493150687,103469.0,143599.5
